P1| Chapter 20: I Shall Live Forever—and Ever—and Ever!
P2| But they were forced to wait more than a week. First, there were some very windy days, and then Colin caught a slight cold. These two setbacks would normally have thrown him into a furious rage. However, he was kept busy with so much careful, secret planning. Almost every day, Dickon stopped by, even if only for a few minutes, to share updates about the moor, the lanes, the hedges, and the stream banks. He talked about the homes of otters, badgers, and water rats, as well as birds' nests and field mice burrows. Hearing these intimate details from a real animal charmer made them tremble with excitement. They realized how eagerly and anxiously the whole busy underworld of nature was working.
P3| "They are just like us," Dickon said, "only they have to build their homes every year. And it keeps them so busy they really scramble to get them done."
P4| The most exciting part, however, was preparing to transport Colin to the garden in complete secrecy. No one could see the wheelchair, Dickon, and Mary after they turned a specific corner of the shrubbery and reached the path outside the ivy-covered walls. As the days passed, Colin became more convinced that the mystery of the garden was its greatest charm. Nothing must ruin that. No one must ever suspect they had a secret. People had to think he was simply going outside with Mary and Dickon because he liked them and didn't mind them looking at him. They had long, delightful talks about their route. They planned to go up one path, down another, cross over, and circle the fountain flowerbeds, pretending to look at the newly planted flowers that Mr. Roach, the head gardener, had laid out. It would look so normal that no one would suspect a thing. Then they would turn into the shrubbery paths and disappear until they reached the long walls. The plan was as serious and detailed as a military strategy designed by great generals in wartime.
P5| Rumors of the strange new things happening in the boy's rooms had naturally spread from the servants' hall to the stables and the gardeners. Even so, Mr. Roach was startled one day when he received orders to go to Master Colin's room. He was told to report to the very apartment that no outsider had ever seen, because the young master wanted to speak to him in person.
P6| "Well, well," he said to himself as he quickly changed his coat. "What is going on now? His Royal Highness, who refused to let anyone look at him, is calling for a man he has never even seen."
P7| Mr. Roach was quite curious. He had never caught even a glimpse of the boy and had heard dozens of exaggerated stories about his strange looks, his behavior, and his wild temper tantrums. The most common rumor was that he might die at any moment. People who had never even seen him had spread vivid descriptions of a hunched back and useless limbs.
P8| "Things are changing in this house, Mr. Roach," Mrs. Medlock said, leading him up the back staircase to the corridor outside the mysterious room.
P9| "Let's hope they are changing for the better, Mrs. Medlock," he replied.
P10| "They could hardly change for the worse," she continued. "And strange as it all is, some of us are finding our work a lot easier to bear. Don't be surprised, Mr. Roach, if you walk into a miniature zoo, with Martha Sowerby's Dickon looking more at home than you or I ever could."
P11| There really was a kind of magic about Dickon, just as Mary had always believed in secret. When Mr. Roach heard his name, his expression softened and he smiled.
P12| "He would be at home in Buckingham Palace or at the bottom of a coal mine," he said. "And yet it is not rudeness at all. He is just a wonderful lad."
P13| It was a good thing he had been prepared, or he might have been startled. When the bedroom door opened, a large crow perched comfortably on the high back of a carved chair announced the visitor by calling out "Caw! Caw!" very loudly. Despite Mrs. Medlock's warning, Mr. Roach barely managed to keep his dignity and avoid jumping backward.
P14| The young master was neither in bed nor on his sofa. He was sitting in an armchair, and a young lamb stood beside him, wagging its tail the way lambs do when feeding, while Dickon knelt to feed it milk from a bottle. A squirrel perched on Dickon's bent back, carefully nibbling a nut. The little girl from India sat on a large footstool, watching the scene.
P15| "Here is Mr. Roach, Master Colin," Mrs. Medlock said.
P16| The young master turned and inspected his employee—at least, that was how the head gardener felt.
P17| "Oh, you are Roach, are you?" he said. "I sent for you to give you some very important orders."
P18| "Very good, sir," Roach answered, wondering if he was about to be ordered to cut down all the oak trees in the park or turn the fruit orchards into water gardens.
P19| "I am going out in my wheelchair this afternoon," Colin said. "If the fresh air agrees with me, I may go out every day. When I do, none of the gardeners are to be anywhere near the Long Walk by the garden walls. No one is to be there. I will go out around two o'clock, and everyone must stay away until I send word that they can return to their work."
P20| "Very good, sir," Mr. Roach replied, very relieved to hear that the oak trees and orchards were safe.
P21| "Mary," Colin said, turning to her, "what is that phrase you use in India when you are finished talking and want people to leave?"
P22| "You say, 'You have my permission to go,'" Mary answered.
P23| Colin waved his hand.
P24| "You have my permission to go, Roach," he said. "But remember, this is very important."
P25| "Caw! Caw!" the crow remarked, hoarse but not impolite.
P26| "Very good, sir. Thank you, sir," Mr. Roach said, and Mrs. Medlock led him out of the room.
P27| Outside in the corridor, because he was a good-natured man, he smiled and then let out a quiet laugh.
P28| "My goodness!" he said. "He has a very lordly way about him, doesn't he? You would think he was a whole royal family rolled into one."
P29| "Yes," Mrs. Medlock sighed. "We have had to let him walk all over us ever since he had feet, and he thinks that is what people were born for."
P30| "Perhaps he will grow out of it, if he lives," Mr. Roach suggested.
P31| "Well, one thing is certain," Mrs. Medlock said. "If he does live and that girl from India stays here, I guarantee she will teach him that the whole world doesn't belong to him, as Susan Sowerby says. He is bound to find out what his own share is."
P32| Inside the room, Colin leaned back on his cushions.
P33| "It is all safe now," he said. "And this afternoon I will see it—this afternoon I will be inside it!"
P34| Dickon went back to the garden with his animals, while Mary stayed with Colin. She did not think he looked tired, but he was very quiet before their lunch arrived, and remained quiet while they ate. She wondered why and asked him about it.
P35| "What big eyes you have, Colin," she said. "When you are thinking, they get as big as saucers. What are you thinking about now?"
P36| "I can't help thinking about what it will look like," he answered.
P37| "The garden?" Mary asked.
P38| "The springtime," he said. "I was thinking that I have really never seen it before. I hardly ever went outside, and when I did, I never looked at it. I didn't even think about it."
P39| "I never saw it in India because there wasn't any," Mary said.
P40| Despite his closed-off and gloomy life, Colin had more imagination than Mary did. He had at least spent a lot of time looking at beautiful books and pictures.
P41| "That morning when you ran in and said, 'It's come! It's come!', you made me feel so strange. It sounded as if spring was coming in a grand procession with bursts of music. I have a picture like that in one of my books—crowds of beautiful people and children with garlands and blossoming branches, everyone laughing, dancing, and playing pipes. That was why I said, 'Perhaps we shall hear golden trumpets' and told you to open the window."
P42| "How funny!" Mary said. "That is exactly what it feels like. And if all the flowers, leaves, birds, and wild creatures danced past at once, what a crowd it would be! I am sure they would dance, sing, and play flutes, and that would be the music floating on the wind."
P43| They both laughed, not because the idea was silly, but because they liked it so much.
P44| A little later, the nurse helped Colin get ready. She noticed that instead of lying still like a log while being dressed, he sat up and tried to help. He talked and laughed with Mary the entire time.
P45| "This is one of his good days, sir," she said to Dr. Craven, who stopped by to check on him. "He is in such good spirits that it makes him feel stronger."
P46| "I will stop by again later this afternoon, after he comes inside," Dr. Craven said. "I must see how going out agrees with him. I only wish," he added in a very low voice, "that he would let you go with him."
P47| "I would rather resign from this case right now, sir, than even stay here while that is suggested," the nurse answered with sudden firmness.
P48| "I hadn't actually decided to suggest it," the doctor said with his usual slight nervousness. "We will try the experiment. Dickon is a boy I would trust with a newborn baby."
P49| The strongest footman in the house carried Colin downstairs and placed him in his wheelchair, where Dickon was waiting outside. Once the servant finished arranging his blankets and cushions, Colin waved his hand to him and the nurse.
P50| "You have my permission to go," he said. They both left quickly, and it must be admitted that they giggled once they were safely inside the house.
P51| Dickon began to push the wheelchair slowly and steadily. Mary walked beside it, and Colin leaned back, looking up at the sky. The arch of the sky seemed incredibly high, and the small, snowy clouds looked like white birds floating on outspread wings in the crystal blue. The wind swept down from the moor in soft, deep breaths, filled with a wild, clean, sweet scent. Colin kept lifting his chest to breathe it in, and his large eyes looked as if they, rather than his ears, were listening intently.
P52| "There are so many sounds of singing, humming, and calling out," he said. "What is that scent in the wind?"
P53| "It is the gorse on the moor opening up," Dickon answered. "Oh, the bees are working wonderfully today."
P54| Not a single person was to be seen along the paths they took. In fact, every gardener and helper had cleared out. They wound in and out of the shrubbery and circled the fountain beds, following their carefully planned route just for the thrill of the mystery. But when they finally turned onto the Long Walk beside the ivy-covered walls, an exciting sense of anticipation made them begin to speak in whispers, for reasons they could not explain.
P55| "This is it," Mary whispered. "This is where I used to walk up and down, wondering and wondering."
P56| "Is it?" Colin said, his eyes eagerly searching the ivy. "But I can't see anything," he whispered. "There is no door."
P57| "That is what I thought," Mary said.
P58| Then a lovely, breathless silence fell as the wheelchair rolled forward.
