P1| Chapter 22: When the Sun Went Down
P2| When his head was out of sight, Colin turned to Mary.
P3| "Go and meet him," he said, and Mary flew across the grass to the door under the ivy.
P4| Dickon was watching him with sharp eyes. There were scarlet spots on Colin's cheeks and he looked amazing, but he showed no signs of falling.
P5| "I can stand," he said. He still held his head high and said it quite grandly.
P6| "I told you you could as soon as you stopped being afraid," answered Dickon. "And you've stopped."
P7| "Yes, I've stopped," said Colin.
P8| Then suddenly he remembered something Mary had said.
P9| "Are you making Magic?" he asked sharply.
P10| Dickon's curly mouth spread in a cheerful grin.
P11| "You're making Magic yourself," he said. "It's the same Magic that made these grow out of the earth," and he touched a clump of crocuses in the grass with his thick boot.
P12| Colin looked down at them.
P13| "Yes," he said slowly, "there couldn't be any greater Magic than that—there couldn't be."
P14| He drew himself up straighter than ever.
P15| "I'm going to walk to that tree," he said, pointing to one a few feet away from him. "I'm going to be standing when Weatherstaff comes here. I can rest against the tree if I want. When I want to sit down I will sit down, but not before. Bring a rug from the chair."
P16| He walked to the tree, and though Dickon held his arm, he was wonderfully steady. When he stood against the tree trunk, it wasn't obvious that he was leaning against it. He still held himself so straight that he looked tall.
P17| When Ben Weatherstaff came through the door in the wall, he saw Colin standing there, and he heard Mary muttering something under her breath.
P18| "What are you saying?" he asked rather testily. He didn't want his attention distracted from the boy's tall, thin, straight figure and proud face.
P19| But she did not tell him. What she was saying was this:
P20| "You can do it! You can do it! I told you you could! You can do it! You can do it! You can!"
P21| She was saying it to Colin because she wanted to make Magic and keep him on his feet, looking just like that. She couldn't bear the thought of him giving in before Ben Weatherstaff. He didn't give in. She felt uplifted by a sudden feeling that he looked quite beautiful, in spite of how thin he was. He fixed his eyes on Ben Weatherstaff in his funny, commanding way.
P22| "Look at me!" he commanded. "Look at me all over! Am I a hunchback? Do I have crooked legs?"
P23| Ben Weatherstaff had not quite got over his emotion, but he had recovered a little and answered almost in his usual way.
P24| "Not you," he said. "Nothing of the sort. What have you been doing with yourself—hiding out of sight and letting people think you were a cripple and half-witted?"
P25| "Half-witted!" said Colin angrily. "Who thought that?"
P26| "Lots of fools," said Ben. "The world is full of jackasses braying, and they never bray anything but lies. What did you shut yourself up for?"
P27| "Everyone thought I was going to die," said Colin shortly. "But I'm not!"
P28| And he said it with such decision that Ben Weatherstaff looked him over, up and down, down and up.
P29| "You, die!" he said with dry joy. "Nothing of the sort! You've got too much pluck in you. When I saw you put your legs on the ground in such a hurry, I knew you were all right. Sit down on the rug a bit, young master, and give me your orders."
